transaction_id,description,merchant,amount,date,category
e4b9d34d-5f2f-4d9b-abb4-11de315d8888,BEST BUY 562 Christianchester NC,Best Buy,176.13,2023-10-05T07:44:34.474237,shopping
bcc02f82-1891-46a4-8547-9e73b15de952,AT&T 391 New Marissabury FM,AT&T,41.56,2024-05-06T05:17:22.187740,utilities
c2dfb5a9-d8d7-4a62-ac7a-6c64e3adcd8c,SOFI STUDENT LOAN 940 Gardnerton AZ,SoFi Student Loan,24.53,2025-04-07T06:08:50.378747,bills
19878d52-c83e-4219-a722-90835d3482cb,SUBWAY 770 Lake Kirk SD,Subway,205.05,2023-10-30T03:49:07.056784,dining
ccb99edc-b6b2-43a4-86b1-e6a8fa3328a9,MCDONALD'S 808 Millsborough CT,McDonald's,91.03,2024-11-10T17:37:38.485223,dining
d7f8a4e3-1ba5-4a86-be27-641cfc560980,GOOD-RX 518 West Davidburgh RI,Good-RX,161.98,2024-07-24T00:07:05.167234,health & wellness
92a9de1e-388a-42b3-915b-d2aa7164ed8b,CLIPPER CARD 744 Brooksberg LA,Clipper Card,191.35,2023-08-25T13:21:04.807850,transportation
b35d8c80-6688-45ce-86fb-982ef413602a,EXPEDIA 894 West Amandaview IN,Expedia,120.58,2025-07-08T00:29:32.301664,travel
bdef05fe-c0cb-4cff-b02b-3c3ea4e64812,CHEVRON 212 Cynthiaburgh NY,Chevron,101.88,2023-11-18T00:02:47.200825,transportation
25475290-a901-4e2e-b990-f8803ba6f98f,INSTACART 178 South Zachary GU,Instacart,169.48,2024-11-27T00:07:05.967873,groceries
68d84935-ad67-4ca2-86bc-da3e0eaeb967,AMC THEATRES 172 Terrytown MP,AMC Theatres,145.35,2023-10-29T01:28:07.206599,entertainment
8bf63d55-324c-4aff-be1f-3e8434501eae,SHELL GAS 215 Andersonbury MH,Shell Gas,164.93,2023-08-15T00:32:59.813625,transportation
654567d7-17d1-4791-9300-0d3f69fdb59c,CVS PHARMACY 475 Port Timothy IN,CVS Pharmacy,118.67,2023-10-17T07:57:29.165166,health & wellness
ea82dfa1-961e-4ff1-acef-c46594b0269c,SOFI STUDENT LOAN 235 Mcbridemouth ND,SoFi Student Loan,64.7,2023-10-16T03:03:05.285357,bills
28c1070c-2f00-441f-9eba-fd33167aec9b,NETFLIX.COM 590 Chaneystad NE,Netflix.com,135.63,2025-04-26T01:26:24.443685,entertainment
cd696d29-9649-4f42-9c0e-87b1f7c2d3e4,AMC THEATRES 891 Port Evelyn GU,AMC Theatres,157.2,2024-08-06T19:20:08.658033,entertainment
d544b9ed-e3cc-473a-8742-77a5a7ab2e8c,EXPEDIA 678 Lake Ashley OH,Expedia,249.41,2025-05-30T00:17:09.895292,travel
2672dba7-384e-45de-942d-7b501b49f130,GOOD-RX 923 Jessicamouth VI,Good-RX,68.38,2025-01-10T19:30:02.935080,health & wellness
38236dc0-3d01-4821-b77e-e20756893d73,INSTACART 115 East Brooke ID,Instacart,57.39,2024-03-06T19:57:03.529223,groceries
8669537c-ce19-4c36-b1c0-82574df0c253,WHOLE FOODS 266 Castroville DC,Whole Foods,248.59,2024-11-06T02:33:21.652366,groceries
d44ac705-59ab-4f98-ad1b-4bb953dab324,SALLIE MAE 457 Mauricestad FM,Sallie Mae,15.33,2024-05-22T21:26:26.393737,bills
3d183bd5-f6f1-4ef7-964f-19cf930e8f1b,GOOD-RX 472 Charlesshire NH,Good-RX,45.78,2025-04-19T14:49:56.611798,health & wellness
1a2e3f14-252f-46d6-8198-1db81546299f,SUBWAY 519 North Mary AL,Subway,7.7,2025-05-20T19:33:14.975657,dining
d0044706-8a12-4ee9-92a7-0f974a299b77,24 HOUR FITNESS 343 Mcphersonberg CO,24 Hour Fitness,53.33,2024-01-02T12:04:25.202945,health & wellness
c908f00f-0cb4-4680-8bcd-e14ed9f78619,STATE FARM 177 South Duanefort MH,State Farm,38.46,2024-08-12T13:28:18.481596,bills
881fb3d3-7015-410f-8c9f-eeefcca27716,LYFT 139 Ramosville VA,Lyft,9.52,2025-06-08T00:56:56.201180,transportation
1a4a2ca4-00c7-4805-9834-e7f1320becb7,24 HOUR FITNESS 884 Lake Robert MD,24 Hour Fitness,91.28,2024-10-25T21:48:59.431376,health & wellness
75f518ff-41f1-4999-8267-037e20cb1233,TARGET 473 Port Traceyburgh CT,Target,39.18,2023-11-08T04:55:25.711957,shopping
0239d382-5aac-48a0-9816-3fbb01674356,CHEVRON 529 West Ericshire WV,Chevron,7.26,2024-03-22T15:33:44.922138,transportation
04a43b00-3f2e-4924-a6dc-dccc01a1f2b5,SHELL GAS 202 Port Ryan DE,Shell Gas,180.49,2024-05-29T11:30:25.909469,transportation
17fd6c7f-a7ce-429b-9ef6-034b0326099c,AMC THEATRES 914 South Natalieton NE,AMC Theatres,29.39,2024-09-14T15:25:02.480215,entertainment
1fd79436-5652-4704-99d1-e5e5ca971830,SHELL GAS 704 New Ashleychester MT,Shell Gas,161.93,2025-06-01T01:19:43.046820,transportation
9d597d53-92cd-4573-a6e6-deb66b8b423f,ZARA 494 Lake Dianaburgh GA,Zara,202.25,2024-07-11T23:23:51.770206,shopping
ab8012c6-1e2e-49ea-9179-18547666309d,SWEETGREEN 140 South Danielshire MA,Sweetgreen,196.63,2025-07-24T13:58:51.518304,dining
c8fed553-b8a9-4713-8328-64e1e90f424d,WALGREENS 984 North Logan WI,Walgreens,200.24,2025-04-29T15:04:33.705121,health & wellness
86e0f812-1977-4a60-b145-343db6b3c357,KROGER 809 Angelton MI,Kroger,71.2,2024-02-19T20:19:22.889251,groceries
ce12e200-c059-4270-a7e3-51edf65fb04e,CHIPOTLE 585 Stephaniemouth WI,Chipotle,109.01,2024-08-11T11:25:09.628915,dining
4520a82d-6dc9-4eaa-aeff-fa0b969fbea1,KROGER 970 Gallowayville SC,Kroger,163.88,2025-04-08T10:00:49.579445,groceries
d50a2d84-4ee6-4ba1-a56a-7d23fe30ed99,STATE FARM 902 Wolfview DE,State Farm,177.03,2025-06-13T00:05:00.386452,bills
e24acd8f-2375-4fce-b06e-ace0ac011de8,SAFEWAY 455 East Codybury MS,Safeway,109.68,2023-11-11T02:22:02.055608,groceries
0cb51de3-b8d2-49c8-a8ba-257ae8ced734,CLIPPER CARD 460 Lauramouth CA,Clipper Card,152.44,2024-11-20T09:27:57.870059,transportation
e81128b5-6b3b-4b05-acfd-0760b6c2ba21,SHELL GAS 842 Port Angela TN,Shell Gas,105.52,2023-12-13T23:54:29.209380,transportation
fdede874-c5ca-4d2a-9b8e-7037d588a45e,CVS PHARMACY 324 West Austin MS,CVS Pharmacy,21.69,2024-02-23T17:49:05.543501,health & wellness
5b4eac0f-ba76-49c8-a348-50fb89929a80,SUBWAY 980 North Cynthia MT,Subway,225.76,2025-07-21T07:33:48.146533,dining
f9a595bb-420a-459e-95be-bb1439cc2e21,EXPEDIA 411 Davidbury NY,Expedia,231.1,2025-02-02T08:49:47.117557,travel
65b023cb-7848-4db4-978a-76accbe0bf25,STEAM GAMES 842 Port Tina NY,Steam Games,104.15,2024-09-27T05:31:13.849505,entertainment
ffa52473-4578-40be-8d9b-01bc197c583d,UNITED AIRLINES 256 South Laura ID,United Airlines,167.99,2024-10-17T14:45:22.283835,travel
93f00c2f-e4e5-450a-a442-45acc3d705db,GEICO 915 East Michael WV,Geico,191.7,2024-08-23T07:13:39.245120,bills
